nplid;namn;atc_kod;form;form_kod;styrka
10010101000011;Celectol;C07AB08;Filmdragerad tablett;FICOTA;200 mg
10010101000035;Nifehexal;C08CA05;Orala droppar, lösning;ORDRSO;20 mg/ml
10010101000042;Terramycin-Polymyxin B;D06AA03;Salva;OINTME;
10010101000059;Cimetidin acis;A02BA01;Tablett;TABLET;200 mg
19350131000010;Aspirin®;N02BA01;Tablett;TABLET;500 mg
19350131000027;Carbo medicinalis;A07BA01;Tablett;TABLET;250 mg
19350321000011;Neurol;N05CM09;Dragerad tablett;COATAB;
19350321000028;Palladon Comp;N02AG04;Injektionsvätska, lösning;SOLINJ;
19350429000012;Lepheton®;R05DA20;Oral lösning;ORASOL;
19350615000017;Calcium-Sandoz®;A12AA02;Injektionsvätska, lösning;SOLINJ;9 mg/ml
19351122000019;Nitromex®;C01DA02;Resoriblett, sublingual;SULITA;0,5 mg
19351204000012;Inotyol®;D05AA;Salva;OINTME;
19360121000012;Inolaxol®;A06AC03;Granulat;GRANUL;
19371028000012;Hypochylin®;A09AB01;Tablett;TABLET;300 mg
19390203000012;Vetalgin® vet.;QN02BB02;Injektionsvätska, lösning;SOLINJ;500 mg/ml
19391005000019;Baldrian-Dispert®;N05CM09;Dragerad tablett;COATAB;
19391102000011;Valerecen®;N05CM09;Oral lösning;ORASOL;
19391228000018;Epanutin®;N03AB02;Kapsel, hård;CAPHAR;100 mg
19401010000017;Quilla simplex;R05CA10;Oral lösning;ORASOL;
19401205000013;Pentothal® Natrium;N01AF03;Pulver till injektionsvätska, lösning;POSOIJ;
19410320000013;Resyl®;R05CA03;Orala droppar, lösning;ORDRSO;100 mg/ml
19430311000013;Neostigmin®;N07AA01;Injektionsvätska, lösning;SOLINJ;2,5 mg/ml
19441214000017;Rimidol®;S01GA01;Ögondroppar, lösning;EYDRSO;
19450927000016;Salazopyrin®;A07EC01;Tablett;TABLET;500 mg
19470313000017;Spasmofen®;N02AG01;Injektionsvätska, lösning;SOLINJ;
19470313000024;Spasmofen®;N02AG01;Suppositorium;SUPPOS;
19480225000012;Tiotil;H03BA02;Tablett;TABLET;50 mg
19480609000010;Digitrin®;C01AA04;Tablett;TABLET;0,1 mg
19481201000019;Relaxit®;A06AX02;Suppositorium;SUPPOS;
19490518000018;Bensylpenicillin Viatris;J01CE01;Pulver till injektions-/infusionsvätska, lösning;POSOII;
19490720000011;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;20 mg/ml
19491123000011;Xylocain®;D04AB01;Salva;OINTME;5 %
19500105000014;Alka-Seltzer®;N02BA01;Brustablett;EFFTAB;
19501227000012;Folacin®;B03BB01;Tablett;TABLET;5 mg
19501227000029;Amosyt®;R06AA11;Tablett;TABLET;100 mg
19510531000014;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;5 mg/ml
19510531000021;Xylocain Dental Adrenalin;N01BB52;Injektionsvätska, lösning;SOLINJ;20 mg/ml + 12,5 mikrogram/ml
19510531000038;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19510531000045;Pursennid® Ex-Lax;A06AB06;Dragerad tablett;COATAB;12 mg
19511024000016;Desentol®;R06AA02;Oral lösning;ORASOL;
19511121000018;Pargitan®;N04AA01;Tablett;TABLET;5 mg
19521117000014;Chloromycetin®;S01AA01;Ögondroppar, lösning;EYDRSO;5 mg/ml
19521117000021;Chloromycetin®;S01AA01;Ögonsalva;EYEOIN;1 %
19530102000014;Xylocain®;N01BB02;Gel;GEL1;20 mg/g
19530102000021;Pargitan® mite;N04AA01;Tablett;TABLET;2 mg
19530210000012;Ido-C®;A11GA01;Tuggtablett;CHETAB;0,5 g
19530228000011;Methergin®;G02AB01;Injektionsvätska, lösning;SOLINJ;0,2 mg/ml
19530228000028;Lergigan®;R06AD02;Filmdragerad tablett;FICOTA;25 mg
19530228000035;Lergigan® mite;R06AD02;Filmdragerad tablett;FICOTA;5 mg
19530228000042;Lergigan®;R06AD02;Oral lösning;ORASOL;1 mg/ml
19530418000012;Lergigan® comp.;R06AD52;Tablett;TABLET;10 mg/50 mg/10 mg
19530623000012;Thacapzol®;H03BB02;Tablett;TABLET;5 mg
19530811000015;Beviplex® forte;A11EA;Filmdragerad tablett;FICOTA;
